name;Review;Weight;Price_before_discount;Discount;price;Timewindow_discount;Origin;Brand;Id;Url;Subcategory;time;Swiss_product;Discount_relative;Price_higher_avg;Last_char_price;Is_last_char_9;main_category;BIO;Date;Word_count;Unit;amount;price per 100g/pice;Weight_unit;Discount_start_date;Discount_end_date;Discount_start_day;Discount_end_day;Discount_duration;Discount_exist;Last_Available_Date;Product_new;Store
Solomania Dörrbohnen;0.0;pro 100g |;;;4.79;;unknown;Solomania;5103950;https://sortiment.lidl.ch/de/solomania-doerrbohnen-5103950;Hülsenfrüchte;2024-10-28 18:00:51.015288;unknown;;yes;9;yes;Obst;no;2024-10-28;2;100g;100g;4.79;g;;;;;;no;2024-10-27;no;lidl
Solomania Dörrbohnen;0.0;pro 100g |;;;4.79;;unknown;Solomania;5103950;https://sortiment.lidl.ch/de/solomania-doerrbohnen-5103950;Hülsenfrüchte;2024-10-29 19:54:18.207193;unknown;;yes;9;yes;Obst;no;2024-10-29;2;100g;100g;4.79;g;;;;;;no;2024-10-28;no;lidl
Solomania Dörrbohnen;0.0;pro 100g |;;;4.79;;unknown;Solomania;5103950;https://sortiment.lidl.ch/de/solomania-doerrbohnen-5103950;Hülsenfrüchte;2024-10-30 20:51:01.157397;unknown;;yes;9;yes;Obst;no;2024-10-30;2;100g;100g;4.79;g;;;;;;no;2024-10-29;no;lidl
Solomania Dörrbohnen;0.0;pro 100g |;;;4.79;;unknown;Solomania;5103950;https://sortiment.lidl.ch/de/solomania-doerrbohnen-5103950;Hülsenfrüchte;2024-10-31 10:28:23.800286;unknown;;yes;9;yes;Obst;no;2024-10-31;2;100g;100g;4.79;g;;;;;;no;2024-10-30;no;lidl
Solomania Dörrbohnen;0.0;pro 100g |;;;4.79;;unknown;Solomania;5103950;https://sortiment.lidl.ch/de/solomania-doerrbohnen-5103950;Hülsenfrüchte;2024-11-01 09:03:50.881119;unknown;;yes;9;yes;Obst;no;2024-11-01;2;100g;100g;4.79;g;;;;;;no;2024-10-31;no;lidl
Solomania Dörrbohnen;0.0;pro 100g |;;;4.79;;unknown;Solomania;5103950;https://sortiment.lidl.ch/de/solomania-doerrbohnen-5103950;Hülsenfrüchte;2024-11-03 17:40:10.068931;unknown;;yes;9;yes;Obst;no;2024-11-03;2;100g;100g;4.79;g;;;;;;no;2024-11-01;no;lidl
Solomania Dörrbohnen;0.0;pro 100g |;;;4.79;;unknown;Solomania;5103950;https://sortiment.lidl.ch/de/solomania-doerrbohnen-5103950;Hülsenfrüchte;2024-11-04 17:18:40.294488;unknown;;yes;9;yes;Obst;no;2024-11-04;2;100g;100g;4.79;g;;;;;;no;2024-11-03;no;lidl
Bananen;97.0;pro 1kg |  |;1.29;-23%;0.99;24.10. - 30.10.;variabel;Rainforest Alliance;80000;https://sortiment.lidl.ch/de/bananen-0080000;Obst;2024-10-27 23:06:55.411551;no;0.23;no;9;yes;Obst;no;2024-10-27;1;1kg;1000g;0.1;g;2024-10-24;2024-10-30;Thursday;Wednesday;6 days;yes;;;lidl
Bananen;97.0;pro 1kg |  |;1.29;-23%;0.99;24.10. - 30.10.;variabel;Rainforest Alliance;80000;https://sortiment.lidl.ch/de/bananen-0080000;Obst;2024-10-28 18:00:51.015288;no;0.23;no;9;yes;Obst;no;2024-10-28;1;1kg;1000g;0.1;g;2024-10-24;2024-10-30;Thursday;Wednesday;6 days;yes;2024-10-27;no;lidl
Bananen;97.0;pro 1kg |  |;1.29;-23%;0.99;24.10. - 30.10.;variabel;Rainforest Alliance;80000;https://sortiment.lidl.ch/de/bananen-0080000;Obst;2024-10-29 19:54:18.207193;no;0.23;no;9;yes;Obst;no;2024-10-29;1;1kg;1000g;0.1;g;2024-10-24;2024-10-30;Thursday;Wednesday;6 days;yes;2024-10-28;no;lidl
Bananen;97.0;pro 1kg |  |;1.29;-23%;0.99;24.10. - 30.10.;variabel;Rainforest Alliance;80000;https://sortiment.lidl.ch/de/bananen-0080000;Obst;2024-10-30 20:51:01.157397;no;0.23;no;9;yes;Obst;no;2024-10-30;1;1kg;1000g;0.1;g;2024-10-24;2024-10-30;Thursday;Wednesday;6 days;yes;2024-10-29;no;lidl
Bananen;97.0;pro 1kg |;;;1.29;;variabel;Rainforest Alliance;80000;https://sortiment.lidl.ch/de/bananen-0080000;Obst;2024-10-31 10:28:23.800286;no;;no;9;yes;Obst;no;2024-10-31;1;1kg;1000g;0.13;g;;;;;;no;2024-10-30;no;lidl
Bananen;97.0;pro 1kg |;;;1.29;;variabel;Rainforest Alliance;80000;https://sortiment.lidl.ch/de/bananen-0080000;Obst;2024-11-01 09:03:50.881119;no;;no;9;yes;Obst;no;2024-11-01;1;1kg;1000g;0.13;g;;;;;;no;2024-10-31;no;lidl
