Title;Review;Weight;Price_before_discount;Discount;Price;Date;Origin;Brand;Id;Url;Subcategory;Date_collecting_data
Nashi Birnen;7;pro Stück |;;;0.99;;Herkunft: China;;Artikelnr.: 80316;https://sortiment.lidl.ch/de/nashi-birnen-0080316;Obst;2024-10-29 19:54:18.207193
Birnen in Schale;;pro 1kg |;;;2.99;;Herkunft: Schweiz;;Artikelnr.: 80285;https://sortiment.lidl.ch/de/birnen-in-schale-0080285;Obst;2024-10-29 19:54:18.207193
Birnen;12;pro 1kg |;;;3.29;;Herkunft: variabel;;Artikelnr.: 80275;https://sortiment.lidl.ch/de/birnen-0080275;Obst;2024-10-29 19:54:18.207193
Äpfel rot 2,5kg;6;pro 2.5kg | 1Kg = 1.58 CHF;;;3.95;;Herkunft: Schweiz;;Artikelnr.: 80236;https://sortiment.lidl.ch/de/aepfel-rot-2-5kg-0080236;Obst;2024-10-29 19:54:18.207193
Äpfel Pink Lady 1kg;15;pro 1kg |;;;4.49;;Herkunft: variabel;;Artikelnr.: 80215;https://sortiment.lidl.ch/de/aepfel-pink-lady-1kg-0080215;Obst;2024-10-29 19:54:18.207193
Äpfel grün;1;pro 1kg |;;;2.89;;Herkunft: Schweiz;;Artikelnr.: 80185;https://sortiment.lidl.ch/de/aepfel-gruen-0080185;Obst;2024-10-29 19:54:18.207193
Galiamelone;12;pro Stück |;;;2.59;;Herkunft: variabel;Rainforest Alliance;Artikelnr.: 80546;https://sortiment.lidl.ch/de/galiamelone-0080546;Obst;2024-10-29 19:54:18.207193
Trauben hell kernlos 500g;10;pro 500g | 1Kg = 4.10 CHF;;;2.05;;Herkunft: variabel;;Artikelnr.: 80505;https://sortiment.lidl.ch/de/trauben-hell-kernlos-500g-0080505;Obst;2024-10-29 19:54:18.207193
Trauben rot;5;pro 1kg |;;;2.59;;Herkunft: Italien;;Artikelnr.: 80490;https://sortiment.lidl.ch/de/trauben-rot-0080490;Obst;2024-10-29 19:54:18.207193
Trauben rot kernlos 500g;3;pro 500g | 1Kg = 4.10 CHF;;;2.05;;Herkunft: variabel;;Artikelnr.: 80485;https://sortiment.lidl.ch/de/trauben-rot-kernlos-500g-0080485;Obst;2024-10-29 19:54:18.207193
Trauben Mix 500g;2;pro 500g | 1Kg = 4.58 CHF;;;2.29;;Herkunft: Italien;;Artikelnr.: 80475;https://sortiment.lidl.ch/de/trauben-mix-500g-0080475;Obst;2024-10-29 19:54:18.207193
Fairtrade Bio Bananen;22;pro 1kg |;;;2.69;;Herkunft: variabel;Fairglobe;Artikelnr.: 81510;https://sortiment.lidl.ch/de/fairtrade-bio-bananen-0081510;Obst;2024-10-29 19:54:18.207193
Bananen;97;pro 1kg |  |;1.29;-23%;0.99;24.10. - 30.10.;Herkunft: variabel;Rainforest Alliance;Artikelnr.: 80000;https://sortiment.lidl.ch/de/bananen-0080000;Obst;2024-10-29 19:54:18.207193
Maroni;4;pro 1kg |;;;7.9;;Herkunft: Italien;;Artikelnr.: 80915;https://sortiment.lidl.ch/de/maroni-0080915;Obst;2024-10-29 19:54:18.207193
Ingwer;18;pro 1kg |;;;4.99;;Herkunft: variabel;;Artikelnr.: 82700;https://sortiment.lidl.ch/de/ingwer-0082700;Obst;2024-10-29 19:54:18.207193
Zwiebeln rot;;pro 1kg |;;;1.89;;Herkunft: Schweiz;Terra Natura;Artikelnr.: 83345;https://sortiment.lidl.ch/de/zwiebeln-rot-0083345;Gemüse;2024-10-29 19:54:18.207193
Spitzpaprika grün spitz, scharf 400g;;pro 400g |;;;1.99;;Herkunft: Marokko;;Artikelnr.: 82577;https://sortiment.lidl.ch/de/spitzpaprika-gruen-spitz-scharf-400g-0082577;Gemüse;2024-10-29 19:54:18.207193
Kartoffeln festkochend 2.5 kg;;pro 2,5kg |;2.90;-24%;2.19;24.10. - 30.10.;Herkunft: Schweiz;;Artikelnr.: 83225;https://sortiment.lidl.ch/de/kartoffeln-festkochend-2-5-kg-0083225;Gemüse;2024-10-29 19:54:18.207193
Bio Gurken;;pro 250g | 100g = 0.60 CHF;;;1.49;;Herkunft: Spanien;BIO Organic;Artikelnr.: 84430;https://sortiment.lidl.ch/de/bio-gurken-0084430;Gemüse;2024-10-29 19:54:18.207193
Kartoffeln mehligkochend 2.5kg;;pro 2,5kg |;;;2.9;;Herkunft: Schweiz;;Artikelnr.: 83275;https://sortiment.lidl.ch/de/kartoffeln-mehligkochend-2-5kg-0083275;Gemüse;2024-10-29 19:54:18.207193
Blumenkohl & Broccoli Mix;;pro 400g | 100g = 0.75 CHF;;;2.99;;Herkunft: Schweiz;;Artikelnr.: 82887;https://sortiment.lidl.ch/de/blumenkohl-broccoli-mix-0082887;Gemüse;2024-10-29 19:54:18.207193
Saucenzwiebeln Mix;;pro 500g | 1Kg = 1.98 CHF;;;0.99;;Herkunft: Schweiz;Terra Natura;Artikelnr.: 83343;https://sortiment.lidl.ch/de/saucenzwiebeln-mix-0083343;Gemüse;2024-10-29 19:54:18.207193
Karotten Terra Natura;13;pro 1kg |;;;1.69;;Herkunft: Schweiz;;Artikelnr.: 82755;https://sortiment.lidl.ch/de/karotten-terra-natura-0082755;Gemüse;2024-10-29 19:54:18.207193
Mini Paprika Mix;2;pro 200g | 100g = 0.50 CHF;;;0.99;;Herkunft: Spanien;;Artikelnr.: 82670;https://sortiment.lidl.ch/de/mini-paprika-mix-0082670;Gemüse;2024-10-29 19:54:18.207193
Pak Choi 2 Stk;2;pro 2 Stk. |;;;1.59;;Herkunft: Spanien;;Artikelnr.: 82923;https://sortiment.lidl.ch/de/pak-choi-2-stk-0082923;Gemüse;2024-10-29 19:54:18.207193
Kartoffeln 1.5kg;42;pro 1,5kg | 1Kg = 1.46 CHF;;;2.19;;Herkunft: Schweiz;Terra Natura;Artikelnr.: 83223;https://sortiment.lidl.ch/de/kartoffeln-1-5kg-0083223;Gemüse;2024-10-29 19:54:18.207193
Bio Champignons braun;26;pro 250g | 100g = 0.72 CHF;;;1.79;;Herkunft: Deutschland;BIO Organic;Artikelnr.: 84597;https://sortiment.lidl.ch/de/bio-champignons-braun-0084597;Gemüse;2024-10-29 19:54:18.207193
Schalotten 500g;5;pro 500g | 1Kg = 3.30 CHF;;;1.65;;Herkunft: Schweiz;Terra Natura;Artikelnr.: 83377;https://sortiment.lidl.ch/de/schalotten-500g-0083377;Gemüse;2024-10-29 19:54:18.207193
Zwiebeln gelb 1kg;23;pro 1kg |;;;1.79;;Herkunft: Schweiz;Terra Natura;Artikelnr.: 83331;https://sortiment.lidl.ch/de/zwiebeln-gelb-1kg-0083331;Gemüse;2024-10-29 19:54:18.207193
Spitzpeperoni hellgrün 400g;;pro 400g | 100g = 0.45 CHF;;;1.79;;Herkunft: Marokko;;Artikelnr.: 82569;https://sortiment.lidl.ch/de/spitzpeperoni-hellgruen-400g-0082569;Gemüse;2024-10-29 19:54:18.207193
Bio Kohlmix;;pro Stück |;;;2.49;;Herkunft: Schweiz;BIO Organic;Artikelnr.: 84457;https://sortiment.lidl.ch/de/bio-kohlmix-0084457;Gemüse;2024-10-29 19:54:18.207193
Rüebli 1kg;27;pro 1kg |;;;1.69;;Herkunft: Schweiz;Terra Natura;Artikelnr.: 82761;https://sortiment.lidl.ch/de/rueebli-1kg-0082761;Gemüse;2024-10-29 19:54:18.207193
Bio Snack Rüebli 200g;25;pro 200g | 100g = 0.85 CHF;;;1.69;;Herkunft: variabel;BIO Organic;Artikelnr.: 84449;https://sortiment.lidl.ch/de/bio-snack-rueebli-200g-0084449;Gemüse;2024-10-29 19:54:18.207193
BIO Buschbohnen 350g;6;pro 350g | 100g = 0.77 CHF;;;2.69;;Herkunft: Spanien;BIO Organic;Artikelnr.: 84387;https://sortiment.lidl.ch/de/bio-buschbohnen-350g-0084387;Gemüse;2024-10-29 19:54:18.207193
Knoblauch;18;pro Stück |;;;0.45;;Herkunft: Spanien;;Artikelnr.: 82706;https://sortiment.lidl.ch/de/knoblauch-0082706;Gemüse;2024-10-29 19:54:18.207193
Bio Baby Spinat 100g;24;pro 100g |;;;1.29;;Herkunft: Italien;BIO Organic;Artikelnr.: 84440;https://sortiment.lidl.ch/de/bio-baby-spinat-100g-0084440;Gemüse;2024-10-29 19:54:18.207193
Dattelcherry-Tomaten 500g;1;pro 500g | 1Kg = 3.58 CHF;;;1.79;;Herkunft: variabel;;Artikelnr.: 82411;https://sortiment.lidl.ch/de/dattelcherry-tomaten-500g-0082411;Gemüse;2024-10-29 19:54:18.207193
Kohlrabi;24;pro Stück |;;;1.39;;Herkunft: Schweiz;;Artikelnr.: 82735;https://sortiment.lidl.ch/de/kohlrabi-0082735;Gemüse;2024-10-29 19:54:18.207193
Fenchel;19;pro 1kg |;;;3.39;;Herkunft: Schweiz;;Artikelnr.: 82690;https://sortiment.lidl.ch/de/fenchel-0082690;Gemüse;2024-10-29 19:54:18.207193
Kürbis Butternuss;5;pro 1kg |;;;2.95;;Herkunft: Schweiz;;Artikelnr.: 82835;https://sortiment.lidl.ch/de/kuerbis-butternuss-0082835;Gemüse;2024-10-29 19:54:18.207193
Süsskartoffeln;18;pro 1kg |;;;1.79;;Herkunft: variabel;;Artikelnr.: 80755;https://sortiment.lidl.ch/de/suesskartoffeln-0080755;Gemüse;2024-10-29 19:54:18.207193
Blumenkohl;2;pro kg |;;;3.99;;Herkunft: Schweiz;;Artikelnr.: 82875;https://sortiment.lidl.ch/de/blumenkohl-0082875;Gemüse;2024-10-29 19:54:18.207193
Wirz;;pro 1kg |;;;2.69;;Herkunft: Schweiz;;Artikelnr.: 82960;https://sortiment.lidl.ch/de/wirz-0082960;Gemüse;2024-10-29 19:54:18.207193
Weisskohl;2;pro 1kg |;2.29;-30%;1.59;24.10. - 30.10.;Herkunft: Schweiz;;Artikelnr.: 82955;https://sortiment.lidl.ch/de/weisskohl-0082955;Gemüse;2024-10-29 19:54:18.207193
Rotkohl;;pro 1kg |;;;2.29;;Herkunft: Schweiz;;Artikelnr.: 82945;https://sortiment.lidl.ch/de/rotkohl-0082945;Gemüse;2024-10-29 19:54:18.207193
Rosenkohl 500g;1;pro 500g | 1Kg = 5.90 CHF;;;2.95;;Herkunft: Schweiz;;Artikelnr.: 82931;https://sortiment.lidl.ch/de/rosenkohl-500g-0082931;Gemüse;2024-10-29 19:54:18.207193
Chinakohl;2;pro 1kg |;;;2.75;;Herkunft: Schweiz;;Artikelnr.: 82910;https://sortiment.lidl.ch/de/chinakohl-0082910;Gemüse;2024-10-29 19:54:18.207193
Broccoli 500g;3;pro 500g | 1Kg = 3.58 CHF;;;1.79;;Herkunft: variabel;;Artikelnr.: 82904;https://sortiment.lidl.ch/de/broccoli-500g-0082904;Gemüse;2024-10-29 19:54:18.207193
Broccoli;1;pro 1kg |;;;3.99;;Herkunft: Schweiz;;Artikelnr.: 82895;https://sortiment.lidl.ch/de/broccoli-0082895;Gemüse;2024-10-29 19:54:18.207193
Eisbergsalat;11;pro Stück |;;;1.59;;Herkunft: Schweiz;;Artikelnr.: 82031;https://sortiment.lidl.ch/de/eisbergsalat-0082031;Gemüse;2024-10-29 19:54:18.207193
Rucola 125g;;pro 125g | 100g = 0.68 CHF;;;0.85;;Herkunft: Italien;;Artikelnr.: 82135;https://sortiment.lidl.ch/de/rucola-125g-0082135;Gemüse;2024-10-29 19:54:18.207193
Kopfsalat;7;pro Stück |;;;1.49;;Herkunft: Schweiz;;Artikelnr.: 82071;https://sortiment.lidl.ch/de/kopfsalat-0082071;Gemüse;2024-10-29 19:54:18.207193
Bio Nüsslisalat 125g;;pro 125g | 100g = 3.20 CHF;;;3.99;;Herkunft: Schweiz;BIO Organic;Artikelnr.: 84510;https://sortiment.lidl.ch/de/bio-nuesslisalat-125g-0084510;Gemüse;2024-10-29 19:54:18.207193
Nüsslisalat 125g;2;pro 125g | 100g = 2.20 CHF;;;2.75;;Herkunft: Schweiz;;Artikelnr.: 82051;https://sortiment.lidl.ch/de/nuesslisalat-125g-0082051;Gemüse;2024-10-29 19:54:18.207193
Bio Rucola 100g;;pro 100g |;;;1.49;;Herkunft: Italien;BIO Organic;Artikelnr.: 84520;https://sortiment.lidl.ch/de/bio-rucola-100g-0084520;Gemüse;2024-10-29 19:54:18.207193
Kopfsalatherzen 2 Stück;;pro 2 Stück |;;;2.99;;Herkunft: Schweiz;;Artikelnr.: 82069;https://sortiment.lidl.ch/de/kopfsalatherzen-2-stueck-0082069;Gemüse;2024-10-29 19:54:18.207193
Chicorée 500g;7;pro 500g | 1Kg = 3.98 CHF;;;1.99;;Herkunft: variabel;;Artikelnr.: 82015;https://sortiment.lidl.ch/de/chicoree-500g-0082015;Gemüse;2024-10-29 19:54:18.207193
Dattelcherry-Tomaten 250g;10;pro 250g | 100g = 1.00 CHF;;;2.49;;Herkunft: Schweiz;;Artikelnr.: 82407;https://sortiment.lidl.ch/de/dattelcherry-tomaten-250g-0082407;Gemüse;2024-10-29 19:54:18.207193
Bio Rispentomaten 500g;2;pro 500g | 1Kg = 5.98 CHF;;;2.99;;Herkunft: variabel;BIO Organic;Artikelnr.: 84570;https://sortiment.lidl.ch/de/bio-rispentomaten-500g-0084570;Gemüse;2024-10-29 19:54:18.207193
Bio Cherry-Rispentomaten;;pro 400g | 100g = 0.75 CHF;;;2.99;;Herkunft: Spanien;BIO Organic;Artikelnr.: 84549;https://sortiment.lidl.ch/de/bio-cherry-rispentomaten-0084549;Gemüse;2024-10-29 19:54:18.207193
Tomaten San Marzano;;pro 1kg |;;;3.79;;Herkunft: Schweiz;;Artikelnr.: 82505;https://sortiment.lidl.ch/de/tomaten-san-marzano-0082505;Gemüse;2024-10-29 19:54:18.207193
Tomaten Coeur de Boeuf;7;pro 1kg |;;;4.49;;Herkunft: Schweiz;;Artikelnr.: 82500;https://sortiment.lidl.ch/de/tomaten-coeur-de-boeuf-0082500;Gemüse;2024-10-29 19:54:18.207193
Tomaten 1kg;1;pro 1kg |;;;1.89;;Herkunft: variabel;;Artikelnr.: 82488;https://sortiment.lidl.ch/de/tomaten-1kg-0082488;Gemüse;2024-10-29 19:54:18.207193
Tomaten;;pro 1kg |;;;2.95;;Herkunft: Schweiz;typisch;Artikelnr.: 82480;https://sortiment.lidl.ch/de/tomaten-0082480;Gemüse;2024-10-29 19:54:18.207193
Rispentomaten;1;pro 1kg |;;;3.59;;Herkunft: Schweiz;typisch;Artikelnr.: 82465;https://sortiment.lidl.ch/de/rispentomaten-0082465;Gemüse;2024-10-29 19:54:18.207193
Romatomaten 500g;1;pro 500g | 1Kg = 3.98 CHF;;;1.99;;Herkunft: variabel;;Artikelnr.: 82446;https://sortiment.lidl.ch/de/romatomaten-500g-0082446;Gemüse;2024-10-29 19:54:18.207193
Cherryrispen-Tomaten 200g;10;pro 200g | 100g = 1.15 CHF;;;2.29;;Herkunft: variabel;Deluxe;Artikelnr.: 82437;https://sortiment.lidl.ch/de/cherryrispen-tomaten-200g-0082437;Gemüse;2024-10-29 19:54:18.207193
Cherryrispen-Tomaten 500g;23;pro 500g | 1Kg = 7.90 CHF;;;3.95;;Herkunft: variabel;typisch;Artikelnr.: 82388;https://sortiment.lidl.ch/de/cherryrispen-tomaten-500g-0082388;Gemüse;2024-10-29 19:54:18.207193
Suppengemüse;;pro 1kg |;;;4.29;;Herkunft: Schweiz;;Artikelnr.: 82329;https://sortiment.lidl.ch/de/suppengemuese-0082329;Gemüse;2024-10-29 19:54:18.207193
Lauchzwiebeln;10;pro Stück |;;;1.59;;Herkunft: Schweiz;;Artikelnr.: 82236;https://sortiment.lidl.ch/de/lauchzwiebeln-0082236;Gemüse;2024-10-29 19:54:18.207193
Gurke;11;pro Stück |;;;0.89;;Herkunft: variabel;;Artikelnr.: 82231;https://sortiment.lidl.ch/de/gurke-0082231;Gemüse;2024-10-29 19:54:18.207193
Bio Zucchetti 500g;6;pro 500g | 1Kg = 3.18 CHF;;;1.59;;Herkunft: variabel;BIO Organic;Artikelnr.: 84545;https://sortiment.lidl.ch/de/bio-zucchetti-500g-0084545;Gemüse;2024-10-29 19:54:18.207193
Auberginen;7;pro 1kg |;;;1.99;;Herkunft: variabel;;Artikelnr.: 82180;https://sortiment.lidl.ch/de/auberginen-0082180;Gemüse;2024-10-29 19:54:18.207193
Bio Lauch 500g;;pro 500g | 1Kg = 5.98 CHF;;;2.99;;Herkunft: Schweiz;BIO Organic;Artikelnr.: 84540;https://sortiment.lidl.ch/de/bio-lauch-500g-0084540;Gemüse;2024-10-29 19:54:18.207193
Bio Gurke;6;pro Stück |;;;0.99;;Herkunft: variabel;BIO Organic;Artikelnr.: 84535;https://sortiment.lidl.ch/de/bio-gurke-0084535;Gemüse;2024-10-29 19:54:18.207193
Bio Auberginen 500g;2;pro 500g | 1Kg = 5.98 CHF;;;2.99;;Herkunft: Spanien;BIO Organic;Artikelnr.: 84526;https://sortiment.lidl.ch/de/bio-auberginen-500g-0084526;Gemüse;2024-10-29 19:54:18.207193
Zucchetti;;pro 1kg |;;;1.99;;Herkunft: variabel;;Artikelnr.: 82345;https://sortiment.lidl.ch/de/zucchetti-0082345;Gemüse;2024-10-29 19:54:18.207193
Stangenbohnen 500g;;pro 500g | 1Kg = 4.70 CHF;;;2.35;;Herkunft: variabel;;Artikelnr.: 82327;https://sortiment.lidl.ch/de/stangenbohnen-500g-0082327;Gemüse;2024-10-29 19:54:18.207193
Spinat 500g;;pro 500g | 1Kg = 6.98 CHF;;;3.49;;Herkunft: Schweiz;;Artikelnr.: 82319;https://sortiment.lidl.ch/de/spinat-500g-0082319;Gemüse;2024-10-29 19:54:18.207193
Radieschen 250g;;pro Stück |;;;1.49;;Herkunft: Schweiz;;Artikelnr.: 82275;https://sortiment.lidl.ch/de/radieschen-250g-0082275;Gemüse;2024-10-29 19:54:18.207193
Stangenlauch;;pro 1kg |;;;4.49;;Herkunft: Schweiz;;Artikelnr.: 82255;https://sortiment.lidl.ch/de/stangenlauch-0082255;Gemüse;2024-10-29 19:54:18.207193
