Title;Review;Weight;Price_before_discount;Discount;Price;Date;Origin;Brand;Id;Url;Subcategory;Date_collecting_data;Swiss_Product;Bio;Word_count;Unit;clean_unit;calculated_price_per100g_perStück;Weight_unit;discount_start_date;discount_ende_date;discount_start_day;discount_ende_day;Discount_duration;Discount_exist
Ananas Extra sweet;15.0;pro Stück |;2.29;;2.29;;variabel;Rainforest Alliance;80611;https://sortiment.lidl.ch/de/ananas-extra-sweet-0080611;Obst;;no;no;3;Stück;1 Stück;2.29;Stück;;;;;;no
Grapefruit;8.0;pro Stück |;0.79;;0.79;;variabel;;80041;https://sortiment.lidl.ch/de/grapefruit-0080041;Obst;;no;no;1;Stück;1 Stück;0.79;Stück;;;;;;no
Clementinen;4.0;pro 1kg |;1.49;-34%;1.49;24.10. - 30.10.;variabel;;80085;https://sortiment.lidl.ch/de/clementinen-0080085;Obst;;no;no;1;1kg;1000g;0.15;g;2024-10-24;2024-10-30;Thursday;Wednesday;6 days;yes
Bio Zitronen;42.0;pro Stück |;0.49;;0.49;;Spanien;BIO Organic;81536;https://sortiment.lidl.ch/de/bio-zitronen-0081536;Obst;;no;yes;2;Stück;1 Stück;0.49;Stück;;;;;;no
Bio Orangen 1kg;4.0;pro 1kg |;3.79;;3.79;;variabel;BIO Organic;81532;https://sortiment.lidl.ch/de/bio-orangen-1kg-0081532;Obst;;no;yes;3;1kg;1000g;0.38;g;;;;;;no
Fairtrade Limette;79.0;pro Stück |;0.49;;0.49;;Siehe Packung;Fairglobe;80179;https://sortiment.lidl.ch/de/fairtrade-limette-0080179;Obst;;no;no;2;Stück;1 Stück;0.49;Stück;;;;;;no
Zitrone;33.0;pro Stück |;0.39;;0.39;;variabel;;80161;https://sortiment.lidl.ch/de/zitrone-0080161;Obst;;no;no;1;Stück;1 Stück;0.39;Stück;;;;;;no
Orangen 2kg;3.0;pro 2kg | 1Kg = 1.50 CHF;2.99;;2.99;;variabel;;80142;https://sortiment.lidl.ch/de/orangen-2kg-0080142;Obst;;no;no;2;2kg;2000g;0.15;g;;;;;;no
Orangen 1,5kg;1.0;pro 1.5kg | 1Kg = 1.50 CHF;2.25;;2.25;;variabel;;80141;https://sortiment.lidl.ch/de/orangen-1-5kg-0080141;Obst;;no;no;2;1.5kg;1500g;0.15;g;;;;;;no
Clementinen 2,3kg;;pro 2,3kg | 1Kg = 1.74 CHF;3.99;;3.99;;Spanien;;80092;https://sortiment.lidl.ch/de/clementinen-2-3kg-0080092;Obst;;no;no;2;2,3kg;2300g;0.17;g;;;;;;no
Clementinen 1kg;;pro 1kg |;1.79;;1.79;;Spanien;;80088;https://sortiment.lidl.ch/de/clementinen-1kg-0080088;Obst;;no;no;2;1kg;1000g;0.18;g;;;;;;no
Honigpomelo;2.0;pro Stück |;2.99;;2.99;;variabel;;80056;https://sortiment.lidl.ch/de/honigpomelo-0080056;Obst;;no;no;1;Stück;1 Stück;2.99;Stück;;;;;;no
Bio Heidelbeeren 125g;;pro 125g | 100g = 2.00 CHF;2.49;;2.49;;variabel;BIO Organic;81685;https://sortiment.lidl.ch/de/bio-heidelbeeren-125g-0081685;Obst;;no;yes;3;125g;125g;1.99;g;;;;;;no
Himbeeren 250g;10.0;pro 250g | 100g = 1.60 CHF;3.99;;3.99;;Spanien;;80838;https://sortiment.lidl.ch/de/himbeeren-250g-0080838;Obst;;no;no;2;250g;250g;1.6;g;;;;;;no
Heidelbeeren 250g;14.0;pro 250g | 100g = 1.52 CHF;3.79;;3.79;;variabel;;80823;https://sortiment.lidl.ch/de/heidelbeeren-250g-0080823;Obst;;no;no;2;250g;250g;1.52;g;;;;;;no
Pflaumen 1kg;;pro 1kg |;2.69;;2.69;;variabel;;80417;https://sortiment.lidl.ch/de/pflaumen-1kg-0080417;Obst;;no;no;2;1kg;1000g;0.27;g;;;;;;no
Bio Äpfel rot 500g;1.0;pro 500g | 1Kg = 5.70 CHF;2.85;;2.85;;Schweiz;BIO Organic;81560;https://sortiment.lidl.ch/de/bio-aepfel-rot-500g-0081560;Obst;;yes;yes;4;500g;500g;0.57;g;;;;;;no
Nashi Birnen;7.0;pro Stück |;0.99;;0.99;;China;;80316;https://sortiment.lidl.ch/de/nashi-birnen-0080316;Obst;;no;no;2;Stück;1 Stück;0.99;Stück;;;;;;no
Birnen in Schale;;pro 1kg |;2.99;;2.99;;Schweiz;;80285;https://sortiment.lidl.ch/de/birnen-in-schale-0080285;Obst;;yes;no;3;1kg;1000g;0.3;g;;;;;;no
Birnen;12.0;pro 1kg |;3.29;;3.29;;variabel;;80275;https://sortiment.lidl.ch/de/birnen-0080275;Obst;;no;no;1;1kg;1000g;0.33;g;;;;;;no
Äpfel rot 2,5kg;6.0;pro 2.5kg | 1Kg = 1.58 CHF;3.95;;3.95;;Schweiz;;80236;https://sortiment.lidl.ch/de/aepfel-rot-2-5kg-0080236;Obst;;yes;no;3;2.5kg;2500g;0.16;g;;;;;;no
